Time	V(N001)	V(N002)	V(N003)	I(V1)	I(R1)	I(C1)	I(L1)	
0.083	-4.38153	0.182255	0.142766	0.00456379	-0.00456379	-0.00456379	-0.00456379	
0.0835	-4.30371	0.188695	0.151488	0.0044924	-0.0044924	-0.0044924	-0.0044924	
0.084	-4.22164	0.195021	0.160061	0.00441666	-0.00441666	-0.00441666	-0.00441666	
0.0845	-4.1354	0.201227	0.168476	0.00433663	-0.00433663	-0.00433663	-0.00433663	
0.085	-4.04508	0.207307	0.176724	0.00425239	-0.00425239	-0.00425239	-0.00425239	
0.0855	-3.95078	0.213255	0.184798	0.00416403	-0.00416403	-0.00416403	-0.00416403	
0.086	-3.85257	0.219065	0.19269	0.00407163	-0.00407163	-0.00407163	-0.00407163	
0.0865	-3.75056	0.224731	0.200392	0.00397529	-0.00397529	-0.00397529	-0.00397529	
0.087	-3.64484	0.230247	0.207896	0.00387509	-0.00387509	-0.00387509	-0.00387509	
0.0875	-3.53553	0.235609	0.215195	0.00377114	-0.00377114	-0.00377114	-0.00377114	
0.088	-3.42274	0.24081	0.222281	0.00366355	-0.00366355	-0.00366355	-0.00366355	
0.0885	-3.30656	0.245846	0.229149	0.0035524	-0.0035524	-0.0035524	-0.0035524	
0.089	-3.18712	0.250711	0.23579	0.00343783	-0.00343783	-0.00343783	-0.00343783	
0.0895	-3.06454	0.2554	0.242199	0.00331994	-0.00331994	-0.00331994	-0.00331994	
0.09	-2.93893	0.25991	0.248368	0.00319884	-0.00319884	-0.00319884	-0.00319884	
0.0905	-2.81042	0.264235	0.254293	0.00307465	-0.00307465	-0.00307465	-0.00307465	
0.091	-2.67913	0.268372	0.259967	0.00294751	-0.00294751	-0.00294751	-0.00294751	
0.0915	-2.54521	0.272315	0.265384	0.00281752	-0.00281752	-0.00281752	-0.00281752	
0.092	-2.40877	0.276062	0.270539	0.00268483	-0.00268483	-0.00268483	-0.00268483	
0.0925	-2.26995	0.279608	0.275428	0.00254956	-0.00254956	-0.00254956	-0.00254956	
0.093	-2.1289	0.28295	0.280045	0.00241185	-0.00241185	-0.00241185	-0.00241185	
0.0935	-1.98574	0.286085	0.284385	0.00227182	-0.00227182	-0.00227182	-0.00227182	
0.094	-1.84062	0.289009	0.288445	0.00212963	-0.00212963	-0.00212963	-0.00212963	
0.0945	-1.69369	0.291719	0.292221	0.00198541	-0.00198541	-0.00198541	-0.00198541	
0.095	-1.54508	0.294214	0.295708	0.0018393	-0.0018393	-0.0018393	-0.0018393	
0.0955	-1.39496	0.296489	0.298903	0.00169144	-0.00169144	-0.00169144	-0.00169144	
0.096	-1.24345	0.298544	0.301803	0.00154199	-0.00154199	-0.00154199	-0.00154199	
0.0965	-1.09072	0.300376	0.304406	0.00139109	-0.00139109	-0.00139109	-0.00139109	
0.097	-0.936907	0.301982	0.306708	0.00123889	-0.00123889	-0.00123889	-0.00123889	
0.0975	-0.782172	0.303362	0.308708	0.00108553	-0.00108553	-0.00108553	-0.00108553	
0.098	-0.626666	0.304515	0.310403	0.000931181	-0.000931181	-0.000931181	-0.000931181	
0.0985	-0.470542	0.305438	0.311792	0.000775979	-0.000775979	-0.000775979	-0.000775979	
0.099	-0.313953	0.306131	0.312873	0.000620084	-0.000620084	-0.000620084	-0.000620084	
0.0995	-0.157054	0.306594	0.313645	0.000463647	-0.000463647	-0.000463647	-0.000463647	
0.1	2.09798e-14	0.306825	0.314108	0.000306825	-0.000306825	-0.000306825	-0.000306825	
0.1005	0.157054	0.306824	0.314261	0.000149771	-0.000149771	-0.000149771	-0.000149771	
0.101	0.313953	0.306593	0.314104	-7.36008e-06	7.36008e-06	7.36008e-06	7.36008e-06	
0.1015	0.470542	0.306129	0.313637	-0.000164412	0.000164412	0.000164412	0.000164412	
0.102	0.626666	0.305435	0.312861	-0.000321231	0.000321231	0.000321231	0.000321231	
0.1025	0.782172	0.304511	0.311776	-0.000477662	0.000477662	0.000477662	0.000477662	
0.103	0.936907	0.303357	0.310383	-0.00063355	0.00063355	0.00063355	0.00063355	
0.1035	1.09072	0.301975	0.308685	-0.000788741	0.000788741	0.000788741	0.000788741	
0.104	1.24345	0.300366	0.306681	-0.000943084	0.000943084	0.000943084	0.000943084	
0.1045	1.39496	0.298531	0.304375	-0.00109642	0.00109642	0.00109642	0.00109642	
0.105	1.54508	0.296473	0.301769	-0.00124861	0.00124861	0.00124861	0.00124861	
0.1055	1.69369	0.294193	0.298865	-0.0013995	0.0013995	0.0013995	0.0013995	
0.106	1.84062	0.291694	0.295666	-0.00154893	0.00154893	0.00154893	0.00154893	
0.1065	1.98574	0.288978	0.292175	-0.00169676	0.00169676	0.00169676	0.00169676	
0.107	2.1289	0.286047	0.288396	-0.00184285	0.00184285	0.00184285	0.00184285	
0.1075	2.26995	0.282905	0.284333	-0.00198705	0.00198705	0.00198705	0.00198705	
0.108	2.40877	0.279555	0.279989	-0.00212921	0.00212921	0.00212921	0.00212921	
0.1085	2.54521	0.275999	0.275368	-0.00226921	0.00226921	0.00226921	0.00226921	
0.109	2.67913	0.272242	0.270477	-0.00240689	0.00240689	0.00240689	0.00240689	
0.1095	2.81042	0.268287	0.265318	-0.00254213	0.00254213	0.00254213	0.00254213	
0.11	2.93893	0.264137	0.259897	-0.00267479	0.00267479	0.00267479	0.00267479	
0.1105	3.06454	0.259798	0.25422	-0.00280474	0.00280474	0.00280474	0.00280474	
0.111	3.18712	0.255272	0.248292	-0.00293185	0.00293185	0.00293185	0.00293185	
0.1115	3.30656	0.250565	0.24212	-0.00305599	0.00305599	0.00305599	0.00305599	
