Time	V(N001)	V(N002)	I(V1)	I(R1)	I(C1)	
0.147	0.936907	0.146692	-0.000790215	-0.000790215	-0.000790215	
0.148	0.626666	0.147482	-0.000479184	-0.000479184	-0.000479184	
0.149	0.313953	0.147961	-0.000165991	-0.000165991	-0.000165991	
0.15	-3.36902e-14	0.148127	0.000148127	0.000148127	0.000148127	
0.151	-0.313953	0.147979	0.000461932	0.000461932	0.000461932	
0.152	-0.626666	0.147517	0.000774183	0.000774183	0.000774183	
0.153	-0.936907	0.146743	0.00108365	0.00108365	0.00108365	
0.154	-1.24345	0.145659	0.00138911	0.00138911	0.00138911	
0.155	-1.54508	0.14427	0.00168936	0.00168936	0.00168936	
0.156	-1.84062	0.142581	0.0019832	0.0019832	0.0019832	
0.157	-2.1289	0.140598	0.00226949	0.00226949	0.00226949	
0.158	-2.40877	0.138328	0.0025471	0.0025471	0.0025471	
0.159	-2.67913	0.135781	0.00281492	0.00281492	0.00281492	
0.16	-2.93893	0.132966	0.00307189	0.00307189	0.00307189	
0.161	-3.18712	0.129894	0.00331701	0.00331701	0.00331701	
0.162	-3.42274	0.126577	0.00354931	0.00354931	0.00354931	
0.163	-3.64484	0.123028	0.00376787	0.00376787	0.00376787	
0.164	-3.85257	0.11926	0.00397183	0.00397183	0.00397183	
0.165	-4.04508	0.115288	0.00416037	0.00416037	0.00416037	
0.166	-4.22164	0.111128	0.00433277	0.00433277	0.00433277	
0.167	-4.38153	0.106795	0.00448833	0.00448833	0.00448833	
0.168	-4.52414	0.102307	0.00462644	0.00462644	0.00462644	
0.169	-4.64888	0.0976803	0.00474656	0.00474656	0.00474656	
0.17	-4.75528	0.0929337	0.00484822	0.00484822	0.00484822	
0.171	-4.84292	0.0880855	0.004931	0.004931	0.004931	
0.172	-4.91144	0.0831545	0.00499459	0.00499459	0.00499459	
0.173	-4.96057	0.0781599	0.00503873	0.00503873	0.00503873	
0.174	-4.99013	0.0731212	0.00506325	0.00506325	0.00506325	
0.175	-5	0.0680579	0.00506806	0.00506806	0.00506806	
0.176	-4.99013	0.0629899	0.00505312	0.00505312	0.00505312	
0.177	-4.96057	0.0579367	0.00501851	0.00501851	0.00501851	
0.178	-4.91144	0.0529182	0.00496435	0.00496435	0.00496435	
0.179	-4.84292	0.0479539	0.00489087	0.00489087	0.00489087	
0.18	-4.75528	0.043063	0.00479835	0.00479835	0.00479835	
0.181	-4.64888	0.0382647	0.00468715	0.00468715	0.00468715	
0.182	-4.52414	0.0335775	0.00455771	0.00455771	0.00455771	
0.183	-4.38153	0.0290198	0.00441055	0.00441055	0.00441055	
0.184	-4.22164	0.0246092	0.00424625	0.00424625	0.00424625	
0.185	-4.04508	0.020363	0.00406545	0.00406545	0.00406545	
0.186	-3.85257	0.0162976	0.00386886	0.00386886	0.00386886	
0.187	-3.64484	0.0124287	0.00365727	0.00365727	0.00365727	
0.188	-3.42274	0.00877142	0.00343151	0.00343151	0.00343151	
0.189	-3.18712	0.00533991	0.00319246	0.00319246	0.00319246	
0.19	-2.93893	0.00214745	0.00294107	0.00294107	0.00294107	
0.191	-2.67913	-0.000793624	0.00267834	0.00267834	0.00267834	
0.192	-2.40877	-0.00347196	0.0024053	0.0024053	0.0024053	
0.193	-2.1289	-0.00587726	0.00212302	0.00212302	0.00212302	
0.194	-1.84062	-0.00800028	0.00183262	0.00183262	0.00183262	
0.195	-1.54508	-0.0098329	0.00153525	0.00153525	0.00153525	
0.196	-1.24345	-0.0113682	0.00123208	0.00123208	0.00123208	
0.197	-0.936907	-0.0126002	0.000924306	0.000924306	0.000924306	
0.198	-0.626666	-0.0135245	0.000613142	0.000613142	0.000613142	
0.199	-0.313953	-0.0141377	0.000299815	0.000299815	0.000299815	
0.2	4.19596e-14	-0.0144375	-1.44375e-05	-1.44375e-05	-1.44375e-05	
0.201	0.313953	-0.0144231	-0.000328376	-0.000328376	-0.000328376	
0.202	0.626666	-0.0140947	-0.000640761	-0.000640761	-0.000640761	
0.203	0.936907	-0.0134539	-0.00095036	-0.00095036	-0.00095036	
0.204	1.24345	-0.0125036	-0.00125595	-0.00125595	-0.00125595	
0.205	1.54508	-0.0112476	-0.00155633	-0.00155633	-0.00155633	
0.206	1.84062	-0.00969128	-0.00185031	-0.00185031	-0.00185031	
0.207	2.1289	-0.00784096	-0.00213674	-0.00213674	-0.00213674	
0.208	2.40877	-0.00570423	-0.00241447	-0.00241447	-0.00241447	
0.209	2.67913	-0.00328975	-0.00268242	-0.00268242	-0.00268242	
0.21	2.93893	-0.000607331	-0.00293953	-0.00293953	-0.00293953	
0.211	3.18712	0.0023322	-0.00318479	-0.00318479	-0.00318479	
