Time	V(N1)	V(N2)	V(N3)	V(N4)	I(V1)	I(R1)	I(R2)	I(I1)	I(R3)	I(R4)	I(R5)	
1.4	6.79028e-14	12.5	-18.75	-6.25	2.5	-2.5	2.5	5	-3.75	-1.25	-1.25	
1.41	0.618034	12.809	-18.75	-6.25	2.4382	-2.4382	2.5618	5	-3.75	-1.25	-1.25	
1.42	1.17557	13.0878	-18.75	-6.25	2.38244	-2.38244	2.61756	5	-3.75	-1.25	-1.25	
1.43	1.61803	13.309	-18.75	-6.25	2.3382	-2.3382	2.6618	5	-3.75	-1.25	-1.25	
1.44	1.90211	13.4511	-18.75	-6.25	2.30979	-2.30979	2.69021	5	-3.75	-1.25	-1.25	
1.45	2	13.5	-18.75	-6.25	2.3	-2.3	2.7	5	-3.75	-1.25	-1.25	
1.46	1.90211	13.4511	-18.75	-6.25	2.30979	-2.30979	2.69021	5	-3.75	-1.25	-1.25	
1.47	1.61803	13.309	-18.75	-6.25	2.3382	-2.3382	2.6618	5	-3.75	-1.25	-1.25	
1.48	1.17557	13.0878	-18.75	-6.25	2.38244	-2.38244	2.61756	5	-3.75	-1.25	-1.25	
1.49	0.618034	12.809	-18.75	-6.25	2.4382	-2.4382	2.5618	5	-3.75	-1.25	-1.25	
1.5	-5.99974e-14	12.5	-18.75	-6.25	2.5	-2.5	2.5	5	-3.75	-1.25	-1.25	
1.51	-0.618034	12.191	-18.75	-6.25	2.5618	-2.5618	2.4382	5	-3.75	-1.25	-1.25	
1.52	-1.17557	11.9122	-18.75	-6.25	2.61756	-2.61756	2.38244	5	-3.75	-1.25	-1.25	
1.53	-1.61803	11.691	-18.75	-6.25	2.6618	-2.6618	2.3382	5	-3.75	-1.25	-1.25	
1.54	-1.90211	11.5489	-18.75	-6.25	2.69021	-2.69021	2.30979	5	-3.75	-1.25	-1.25	
1.55	-2	11.5	-18.75	-6.25	2.7	-2.7	2.3	5	-3.75	-1.25	-1.25	
1.56	-1.90211	11.5489	-18.75	-6.25	2.69021	-2.69021	2.30979	5	-3.75	-1.25	-1.25	
1.57	-1.61803	11.691	-18.75	-6.25	2.6618	-2.6618	2.3382	5	-3.75	-1.25	-1.25	
1.58	-1.17557	11.9122	-18.75	-6.25	2.61756	-2.61756	2.38244	5	-3.75	-1.25	-1.25	
1.59	-0.618034	12.191	-18.75	-6.25	2.5618	-2.5618	2.4382	5	-3.75	-1.25	-1.25	
1.6	6.7413e-14	12.5	-18.75	-6.25	2.5	-2.5	2.5	5	-3.75	-1.25	-1.25	
1.61	0.618034	12.809	-18.75	-6.25	2.4382	-2.4382	2.5618	5	-3.75	-1.25	-1.25	
1.62	1.17557	13.0878	-18.75	-6.25	2.38244	-2.38244	2.61756	5	-3.75	-1.25	-1.25	
1.63	1.61803	13.309	-18.75	-6.25	2.3382	-2.3382	2.6618	5	-3.75	-1.25	-1.25	
1.64	1.90211	13.4511	-18.75	-6.25	2.30979	-2.30979	2.69021	5	-3.75	-1.25	-1.25	
1.65	2	13.5	-18.75	-6.25	2.3	-2.3	2.7	5	-3.75	-1.25	-1.25	
1.66	1.90211	13.4511	-18.75	-6.25	2.30979	-2.30979	2.69021	5	-3.75	-1.25	-1.25	
1.67	1.61803	13.309	-18.75	-6.25	2.3382	-2.3382	2.6618	5	-3.75	-1.25	-1.25	
1.68	1.17557	13.0878	-18.75	-6.25	2.38244	-2.38244	2.61756	5	-3.75	-1.25	-1.25	
1.69	0.618034	12.809	-18.75	-6.25	2.4382	-2.4382	2.5618	5	-3.75	-1.25	-1.25	
1.7	-7.37183e-14	12.5	-18.75	-6.25	2.5	-2.5	2.5	5	-3.75	-1.25	-1.25	
1.71	-0.618034	12.191	-18.75	-6.25	2.5618	-2.5618	2.4382	5	-3.75	-1.25	-1.25	
1.72	-1.17557	11.9122	-18.75	-6.25	2.61756	-2.61756	2.38244	5	-3.75	-1.25	-1.25	
1.73	-1.61803	11.691	-18.75	-6.25	2.6618	-2.6618	2.3382	5	-3.75	-1.25	-1.25	
1.74	-1.90211	11.5489	-18.75	-6.25	2.69021	-2.69021	2.30979	5	-3.75	-1.25	-1.25	
1.75	-2	11.5	-18.75	-6.25	2.7	-2.7	2.3	5	-3.75	-1.25	-1.25	
1.76	-1.90211	11.5489	-18.75	-6.25	2.69021	-2.69021	2.30979	5	-3.75	-1.25	-1.25	
1.77	-1.61803	11.691	-18.75	-6.25	2.6618	-2.6618	2.3382	5	-3.75	-1.25	-1.25	
1.78	-1.17557	11.9122	-18.75	-6.25	2.61756	-2.61756	2.38244	5	-3.75	-1.25	-1.25	
1.79	-0.618034	12.191	-18.75	-6.25	2.5618	-2.5618	2.4382	5	-3.75	-1.25	-1.25	
1.8	8.1134e-14	12.5	-18.75	-6.25	2.5	-2.5	2.5	5	-3.75	-1.25	-1.25	
1.81	0.618034	12.809	-18.75	-6.25	2.4382	-2.4382	2.5618	5	-3.75	-1.25	-1.25	
1.82	1.17557	13.0878	-18.75	-6.25	2.38244	-2.38244	2.61756	5	-3.75	-1.25	-1.25	
1.83	1.61803	13.309	-18.75	-6.25	2.3382	-2.3382	2.6618	5	-3.75	-1.25	-1.25	
1.84	1.90211	13.4511	-18.75	-6.25	2.30979	-2.30979	2.69021	5	-3.75	-1.25	-1.25	
1.85	2	13.5	-18.75	-6.25	2.3	-2.3	2.7	5	-3.75	-1.25	-1.25	
1.86	1.90211	13.4511	-18.75	-6.25	2.30979	-2.30979	2.69021	5	-3.75	-1.25	-1.25	
1.87	1.61803	13.309	-18.75	-6.25	2.3382	-2.3382	2.6618	5	-3.75	-1.25	-1.25	
1.88	1.17557	13.0878	-18.75	-6.25	2.38244	-2.38244	2.61756	5	-3.75	-1.25	-1.25	
1.89	0.618034	12.809	-18.75	-6.25	2.4382	-2.4382	2.5618	5	-3.75	-1.25	-1.25	
1.9	-8.74393e-14	12.5	-18.75	-6.25	2.5	-2.5	2.5	5	-3.75	-1.25	-1.25	
1.91	-0.618034	12.191	-18.75	-6.25	2.5618	-2.5618	2.4382	5	-3.75	-1.25	-1.25	
1.92	-1.17557	11.9122	-18.75	-6.25	2.61756	-2.61756	2.38244	5	-3.75	-1.25	-1.25	
1.93	-1.61803	11.691	-18.75	-6.25	2.6618	-2.6618	2.3382	5	-3.75	-1.25	-1.25	
1.94	-1.90211	11.5489	-18.75	-6.25	2.69021	-2.69021	2.30979	5	-3.75	-1.25	-1.25	
1.95	-2	11.5	-18.75	-6.25	2.7	-2.7	2.3	5	-3.75	-1.25	-1.25	
1.96	-1.90211	11.5489	-18.75	-6.25	2.69021	-2.69021	2.30979	5	-3.75	-1.25	-1.25	
1.97	-1.61803	11.691	-18.75	-6.25	2.6618	-2.6618	2.3382	5	-3.75	-1.25	-1.25	
1.98	-1.17557	11.9122	-18.75	-6.25	2.61756	-2.61756	2.38244	5	-3.75	-1.25	-1.25	
1.99	-0.618034	12.191	-18.75	-6.25	2.5618	-2.5618	2.4382	5	-3.75	-1.25	-1.25	
2	-4.62103e-15	12.5	-18.75	-6.25	2.5	-2.5	2.5	5	-3.75	-1.25	-1.25	
